firstname,middlename,surname,title,region,province,city
Rogelio ,J,Espina,"Representative, Population and Family Relations",,,
Salvio ,P,Ferrer,"Representative, Poverty Alleviation",,,
Jorge ,T,Almonte,"Representative, Public Order and Safety",,,
Ronald ,M,Cosalan,"Representative, Public Information",,,
Marlyn ,L,Primicias-Agabas,"Representative, Public Works and Highways",,,
Neptali ,M,Gonzales II,"Representative, Revision of Laws",,,
Manuel ,S,Agyao,"Representative, Rules",,,
Victor,J,Yu,"Representative, Rural Development",,,
Neil Benedict,A,Montejo,"Representative, Science and Technology",,,
Arturo,B,Robes,"Representative, Small Business & Entrepreneurship Development",,,
Fredenil ,H,Castro,"Representative, Social Services",,,
Rene ,L,Relampagos,"Representative, Tourism",,,
Mark ,A,Villar,"Representative, Trade and Industry",,,
Cesar ,V,Sarmiento,"Representative, Transportation",,,
Herminia ,B,Roman,"Representative, Veterans Affairs and Welfare",,,
Romero ,S,Quimbo,"Representative, Ways and Means",,,
Aurora ,,Enerio-Cerilles,"Representative, Welfare of Children",,,
Linabelle Ruth ,R,Villarica,"Representative, Women and Gender Equality",,,
Anthony ,G,Del Rosario,"Representative, Youth and Sports Development",,,
Cinchona,,Cruz-Gonzales,"Representative, Bases Conversion",,,
Rodel,M,Batocabe,"Representative, Bicol Recovery and Economic Development",,,
Raymond Democrito ,C,Mendoza,"Representative, East Asean Growth Area",,,
Agapito ,H,Guanlao,"Representative, Food Security",,,
Irwin ,C,Tieng,"Representative, Globalization and WTO",,,
Arlene ,J, Bag-ao,"Representative, Land Use",,,
Teodorico ,T,Haresco Jr.,"Representative, Millenium Development Goals",,,
Maximo ,B,Dalog,"Representative, North Luzon Growth Quadrangle",,,
Jim,,Hataman-Salliman,"Representative, Peace, Reconciliation and Unity",,,
Susan ,A,Yap,"Representative, Reforestation",,,
Isidro,S,Rodriguez Jr.,"Representative, Southern Tagalog Development",,,
